	recommended job difficulty	similar job difficulty	self rating		
user 1	3	3	1		
user 2	2.75	2.725	3		
user 3	2.861111111	2.847222222	3		
user 4	2.333333333	2.305555556	5		
user 5	2.107142857	2.232142857	3		
user 6	3.8125	3.84375	4		
user 7	2.214285714	2.166666667	4		
user 8	3.194444444	3.180555556	4		
user 9	2.972222222	3.013888889	2		
user 10	2.142857143	2.196428571	4		
user 11	2.75	2.75	3		
user 12	3.1	3.1	4		
user 13	3.535714286	3.660714286	1		
user 14	3.178571429	3.142857143	4		
user 15	3.214285714	3.261904762	3		
user 16	3.607142857	3.660714286	3		
user 17	3.791666667	3.708333333	4		they are being recommended jobs consistent with or less than their actual perception
user 18	3.2	3.3	3		
user 19	3.208333333	3.166666667	3		
user 20	2.833333333	2.895833333	3		
user 21	3.055555556	3.027777778	3		
user 22	3.357142857	3.339285714	3		
user 23	3.214285714	3.267857143	4		
user 24	2.78125	2.78125	4		
user 25	3.4375	3.453125	4		
user 26	3.428571429	3.428571429	4		
user 27	3.46875	3.484375	5		
user 28	3.791666667	3.729166667	3		
user 29	1.875	1.875	2		
user 30	3.714285714	3.767857143	2		
user 31	3.75	3.770833333	3		
user 32	2.375	2.409722222	2		
user 33	3	3	4		
user 34	3.875	3.96875	2		they are acctually did jobs consistent with or less than 
user 35	2.7	2.75	4		
user 36	3.464285714	3.5	2		
user 37	4	4.05	2		
user 38	2.75	2.75	3		
user 39	3.785714286	3.75	3		
user 40	3.75	3.678571429	4		
user 41	3.75	3.75	4		
user 42	3.4375	3.5	4		
user 43	2.125	2.125	4		
user 44	2.833333333	2.9375	4		
user 45	2.833333333	2.833333333	4		
user 46	3.666666667	3.666666667	4		
user 47	2	2	4		
user 48	2.333333333	2.270833333	3		
user 49	2.78125	2.78125	4		
user 50	2.875	2.902777778	4		
user 51	3.041666667	3	4		
user 52	3.375	3.359375	4		
user 53	2.925	2.967142857	4		
